folio,ronda,en_encuesta,en_evaluaciones,en_cuestionario_nino,sexo,edad_anios,edad_meses_eval,region,comuna,area,fexp_transversal_enc,fexp_transversal_eval
101521,2024,1,1,1.0,2.0,16.0,,15.0,15101.0,,85.87325576843189,85.87325576843189
101531,2010,1,1,,1.0,2.0,34.0,15.0,,1.0,52.96609878540039,57.8703727722168
101531,2024,1,1,1.0,1.0,17.0,,15.0,15101.0,,74.15883310636582,74.15883310636582
101541,2010,1,1,,1.0,2.0,33.0,15.0,,1.0,52.96609878540039,57.8703727722168
101541,2012,1,1,,1.0,5.0,61.0,15.0,,1.0,67.94828033447266,78.125
101541,2017,1,1,1.0,1.0,10.0,126.0,15.0,15101.0,,73.0,75.0
101541,2024,1,1,1.0,1.0,16.0,,15.0,15101.0,,84.2756639572383,84.2756639572383
101551,2010,1,1,,2.0,2.0,35.0,15.0,,1.0,52.96609878540039,57.8703727722168
101561,2010,1,1,,2.0,2.0,35.0,15.0,,1.0,52.96609878540039,57.8703727722168
101571,2010,1,1,,2.0,2.0,35.0,15.0,,1.0,52.96609878540039,57.8703727722168
101571,2012,1,1,,2.0,4.0,60.0,15.0,,1.0,66.11632537841797,78.125
101571,2017,1,1,1.0,2.0,10.0,126.0,15.0,15101.0,,73.0,75.0
101571,2024,1,1,1.0,2.0,16.0,,15.0,15101.0,,78.79194222275792,78.79194222275792
101581,2010,1,1,,2.0,2.0,35.0,15.0,,1.0,52.96609878540039,57.8703727722168
101581,2012,1,1,,2.0,5.0,59.0,15.0,,1.0,67.94828033447266,78.125
101581,2017,1,1,1.0,2.0,10.0,130.0,15.0,15101.0,,73.0,75.0
101581,2024,1,1,1.0,2.0,17.0,,15.0,15101.0,,83.04362830293185,83.04362830293185
101601,2010,1,1,,1.0,2.0,33.0,15.0,,1.0,52.96609878540039,57.8703727722168
101641,2010,1,1,,1.0,2.0,34.0,15.0,,1.0,52.96609878540039,57.8703727722168
101641,2012,1,1,,1.0,4.0,58.0,15.0,,1.0,65.68546295166016,78.125
101641,2017,1,1,1.0,1.0,10.0,125.0,15.0,15101.0,,73.0,75.0
101641,2024,1,1,1.0,1.0,16.0,,15.0,15101.0,,74.15883310636582,74.15883310636582
